DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2024-11-26,감자,237,245,0,20,15,23,93,86,0
2024-11-25,감자,244,0,101,27,0,31,84,103,0
2024-11-23,감자,160,167,235,11,3,20,78,49,0
2024-11-22,감자,167,155,219,50,0,16,67,34,0
2024-11-21,감자,154,199,256,15,4,10,90,36,0
2024-11-20,감자,199,229,241,16,9,11,62,101,0
2024-11-19,감자,229,233,0,29,5,22,101,72,0
2024-11-18,감자,232,0,169,25,0,40,110,58,0
2024-11-16,감자,167,205,168,22,1,23,71,50,0
2024-11-15,감자,206,230,158,34,3,19,88,61,0
2024-11-14,감자,230,185,206,31,3,26,89,81,0
2024-11-13,감자,185,184,192,51,2,12,80,40,0
2024-11-12,감자,184,148,0,42,3,14,66,59,0
2024-11-11,감자,147,0,149,15,0,20,49,64,0
2024-11-09,감자,201,244,184,15,6,16,94,70,0
2024-11-08,감자,244,247,249,40,11,38,92,63,0
2024-11-07,감자,247,208,236,30,4,49,104,60,0
2024-11-06,감자,208,199,234,45,10,23,89,41,0
2024-11-05,감자,199,194,0,23,6,23,67,80,0
2024-11-04,감자,193,0,0,22,1,12,62,97,0
2024-11-02,감자,140,274,289,18,3,25,70,25,0
2024-11-01,감자,274,225,223,42,1,36,80,115,0
2024-10-31,감자,225,230,190,43,5,26,78,73,0
2024-10-30,감자,230,232,226,40,8,17,88,77,0
2024-10-29,감자,231,252,0,27,0,33,91,81,0
2024-10-28,감자,252,0,159,48,3,41,70,90,0
2024-10-26,감자,200,171,241,24,5,26,85,60,0
2024-10-25,감자,171,191,222,36,4,21,55,55,0
2024-10-24,감자,191,248,196,37,0,32,55,67,0
2024-10-23,감자,248,226,218,58,2,18,119,51,0
2024-10-22,감자,226,216,0,44,18,28,78,58,0
2024-10-21,감자,216,0,184,59,1,34,68,54,0
2024-10-19,감자,208,225,176,53,1,26,65,63,0
2024-10-18,감자,226,194,147,49,3,26,62,85,0
2024-10-17,감자,194,207,274,60,1,20,65,48,0
2024-10-16,감자,207,261,317,54,1,39,71,42,0
2024-10-15,감자,261,242,0,63,5,44,70,79,0
2024-10-14,감자,243,0,172,42,8,49,75,68,0
2024-10-12,감자,229,301,242,47,3,37,64,78,0
2024-10-11,감자,302,265,229,49,2,49,100,101,0
2024-10-10,감자,265,260,195,60,0,24,88,93,0
2024-10-09,감자,260,178,341,36,13,31,111,69,0
2024-10-08,감자,179,249,0,18,1,35,77,47,0
2024-10-07,감자,248,0,296,31,17,26,99,76,0
2024-10-05,감자,213,223,265,38,7,50,68,50,0
2024-10-04,감자,222,249,205,38,1,32,100,52,0
2024-10-03,감자,249,226,141,61,12,37,66,73,0
2024-10-02,감자,225,311,172,31,7,48,100,40,0
2024-10-01,감자,311,337,0,55,8,65,90,93,0
2024-09-30,감자,337,0,0,61,0,45,117,114,0
2024-09-28,감자,294,340,4,52,1,68,82,91,0
2024-09-27,감자,339,254,173,44,1,64,120,111,0
2024-09-26,감자,254,266,199,33,11,43,86,81,0
2024-09-25,감자,266,215,290,64,3,38,73,88,0
2024-09-24,감자,216,282,0,35,0,30,101,49,0
2024-09-23,감자,281,0,168,68,12,48,82,72,0
2024-09-21,감자,224,217,176,27,0,55,78,63,0
2024-09-20,감자,217,0,197,38,0,24,103,52,0
2024-09-16,감자,1,0,173,0,0,0,0,1,0
2024-09-14,감자,144,148,212,22,0,8,77,37,0
2024-09-13,감자,148,219,218,17,0,23,76,32,0
2024-09-12,감자,218,252,207,39,2,37,62,79,0
2024-09-11,감자,252,183,376,47,14,32,90,69,0
2024-09-10,감자,182,266,0,33,3,34,55,58,0
2024-09-09,감자,266,0,257,55,7,42,95,67,0
2024-09-07,감자,186,276,320,43,1,21,51,71,0
2024-09-06,감자,276,268,287,64,5,61,87,59,0
2024-09-05,감자,268,306,218,52,17,24,101,74,0
2024-09-04,감자,305,285,215,54,5,56,121,70,0
2024-09-03,감자,285,254,0,50,22,42,105,66,0
2024-09-02,감자,253,0,134,33,0,16,138,67,0
2024-08-31,감자,166,189,255,52,1,16,64,34,0
2024-08-30,감자,188,237,237,15,4,28,94,48,0
2024-08-29,감자,236,241,204,37,1,43,92,64,0
2024-08-28,감자,241,230,156,54,0,35,95,57,0
2024-08-27,감자,229,267,0,36,1,22,107,64,0
2024-08-26,감자,266,0,178,34,2,32,127,72,0
2024-08-24,감자,279,272,279,55,1,30,84,109,0
2024-08-23,감자,273,231,235,50,1,35,93,93,0
2024-08-22,감자,230,239,271,52,0,26,73,80,0
2024-08-21,감자,239,244,220,32,2,34,129,42,0
2024-08-20,감자,243,282,0,68,1,19,92,64,0
2024-08-19,감자,282,0,224,56,1,42,95,88,0
2024-08-17,감자,197,194,307,14,0,30,82,71,0
2024-08-16,감자,193,218,308,47,0,24,65,58,0
2024-08-15,감자,219,206,267,37,2,34,56,89,0
2024-08-14,감자,206,255,282,44,1,15,81,65,0
2024-08-13,감자,255,287,0,27,2,31,101,94,0
2024-08-12,감자,287,0,194,22,16,48,88,113,0
2024-08-10,감자,176,229,206,35,1,11,75,55,0
2024-08-09,감자,228,186,246,31,13,24,75,86,0
2024-08-08,감자,187,230,315,21,2,39,69,55,0
2024-08-07,감자,229,299,337,62,18,33,52,65,0
2024-08-06,감자,299,293,0,34,3,46,114,102,0
2024-08-05,감자,294,0,0,47,14,44,101,87,0
2024-08-02,감자,132,236,172,30,2,9,64,27,0
2024-08-01,감자,235,259,216,39,5,32,71,89,0
2024-07-31,감자,259,183,213,48,16,32,75,88,0
2024-07-30,감자,182,206,0,23,6,25,75,54,0
2024-07-29,감자,206,0,149,25,4,27,93,57,0
2024-07-27,감자,136,230,260,17,2,30,31,56,0
2024-07-26,감자,230,208,249,25,2,23,97,83,0
2024-07-25,감자,208,216,347,46,2,20,77,63,0
2024-07-24,감자,216,229,294,20,18,10,79,89,0
2024-07-23,감자,229,328,0,42,5,22,102,58,0
2024-07-22,감자,328,0,194,31,14,83,91,109,0
2024-07-20,감자,136,230,200,34,4,20,41,37,0
2024-07-19,감자,230,240,254,35,1,45,96,53,0
2024-07-18,감자,241,249,230,16,5,39,92,88,0
2024-07-17,감자,249,246,167,29,3,32,104,81,0
2024-07-16,감자,246,190,0,29,7,51,80,79,0
2024-07-15,감자,190,0,91,9,4,2,94,81,0
2024-07-13,감자,183,213,245,46,4,42,58,33,0
2024-07-12,감자,214,284,248,32,6,31,92,52,0
2024-07-11,감자,283,286,287,32,3,38,121,90,0
2024-07-10,감자,287,227,266,32,2,52,96,104,0
2024-07-09,감자,227,236,0,10,7,43,111,56,0
2024-07-08,감자,236,0,222,22,3,12,112,87,0
2024-07-06,감자,211,260,308,45,6,29,77,55,0
2024-07-05,감자,260,261,203,50,16,34,97,63,0
2024-07-04,감자,260,192,243,37,15,37,83,89,0
2024-07-03,감자,192,362,281,46,4,36,55,51,0
2024-07-02,감자,363,339,0,20,9,59,139,135,0
2024-07-01,감자,338,0,227,34,11,70,108,116,0
2024-06-29,감자,376,440,393,38,13,57,119,149,0
2024-06-28,감자,441,409,506,90,13,86,140,111,0
2024-06-27,감자,409,450,434,67,11,51,127,153,0
2024-06-26,감자,450,319,632,44,25,64,181,136,0
2024-06-25,감자,320,288,0,54,10,63,111,81,0
2024-06-24,감자,288,0,378,56,10,55,94,73,0
2024-06-22,감자,345,353,193,44,19,48,96,138,0
2024-06-21,감자,354,371,379,67,12,55,105,114,0
2024-06-20,감자,372,364,532,74,15,54,163,65,0
2024-06-19,감자,363,451,590,53,16,57,134,104,0
2024-06-18,감자,451,646,0,49,23,89,184,106,0
2024-06-17,감자,646,0,410,89,28,149,158,222,0
2024-06-15,감자,453,487,591,66,25,73,150,138,0
2024-06-14,감자,487,469,518,97,27,110,105,148,0
2024-06-13,감자,469,489,478,64,10,78,160,157,0
2024-06-12,감자,489,554,489,50,12,63,200,164,0
2024-06-11,감자,553,511,0,74,19,52,183,226,0
2024-06-10,감자,512,0,400,77,19,81,150,184,0
2024-06-08,감자,511,410,586,92,16,99,139,164,0
2024-06-07,감자,410,425,609,88,8,71,138,105,0
2024-06-06,감자,424,413,722,94,14,51,139,127,0
2024-06-05,감자,413,600,794,68,10,38,132,165,0
2024-06-04,감자,601,582,0,123,9,49,235,184,0
2024-06-03,감자,582,0,365,106,5,73,201,197,0
2024-06-01,감자,416,472,223,72,3,70,151,120,0
2024-05-31,감자,472,519,198,96,4,65,179,128,0
2024-05-30,감자,519,494,172,116,3,78,198,124,0
2024-05-29,감자,492,277,333,111,2,51,192,138,0
2024-05-28,감자,277,324,0,69,1,21,107,79,0
