DATE,품목명,총반입량,전일대비_반입량차이,전일대비_반입량변화율(%)
2024-11-30,토마토,95,15.0,18.75
2024-11-29,토마토,104,9.0,9.473684210526317
2024-11-28,토마토,63,-41.0,-39.42307692307692
2024-11-27,토마토,91,28.0,44.44444444444444
2024-11-26,토마토,81,-10.0,-10.989010989010989
2024-11-25,토마토,119,38.0,46.913580246913575
2024-11-23,토마토,118,-1.0,-0.8403361344537815
2024-11-22,토마토,115,-3.0,-2.5423728813559325
2024-11-21,토마토,75,-40.0,-34.78260869565217
2024-11-20,토마토,76,1.0,1.3333333333333335
2024-11-19,토마토,83,7.0,9.210526315789473
2024-11-18,토마토,105,22.0,26.506024096385545
2024-11-16,토마토,100,-5.0,-4.761904761904762
2024-11-15,토마토,94,-6.0,-6.0
2024-11-14,토마토,50,-44.0,-46.808510638297875
2024-11-13,토마토,63,13.0,26.0
2024-11-12,토마토,60,-3.0,-4.761904761904762
2024-11-11,토마토,81,21.0,35.0
2024-11-09,토마토,84,3.0,3.7037037037037033
2024-11-08,토마토,84,0.0,0.0
2024-11-07,토마토,63,-21.0,-25.0
2024-11-06,토마토,80,17.0,26.984126984126984
2024-11-05,토마토,79,-1.0,-1.25
2024-11-04,토마토,109,30.0,37.9746835443038
2024-11-02,토마토,113,4.0,3.669724770642202
2024-11-01,토마토,98,-15.0,-13.274336283185843
2024-10-31,토마토,67,-31.0,-31.63265306122449
2024-10-30,토마토,110,43.0,64.17910447761194
2024-10-29,토마토,116,6.0,5.454545454545454
2024-10-28,토마토,111,-5.0,-4.310344827586207
2024-10-26,토마토,125,14.0,12.612612612612612
2024-10-25,토마토,96,-29.0,-23.200000000000003
2024-10-24,토마토,94,-2.0,-2.083333333333333
2024-10-23,토마토,99,5.0,5.319148936170213
2024-10-22,토마토,111,12.0,12.121212121212121
2024-10-21,토마토,117,6.0,5.405405405405405
2024-10-19,토마토,113,-4.0,-3.418803418803419
2024-10-18,토마토,84,-29.0,-25.663716814159294
2024-10-17,토마토,91,7.0,8.333333333333332
2024-10-16,토마토,68,-23.0,-25.274725274725274
2024-10-15,토마토,113,45.0,66.17647058823529
2024-10-14,토마토,106,-7.0,-6.1946902654867255
2024-10-12,토마토,56,-50.0,-47.16981132075472
2024-10-11,토마토,94,38.0,67.85714285714286
2024-10-10,토마토,43,-51.0,-54.25531914893617
2024-10-09,토마토,63,20.0,46.51162790697674
2024-10-08,토마토,66,3.0,4.761904761904762
2024-10-07,토마토,101,35.0,53.03030303030303
2024-10-05,토마토,52,-49.0,-48.51485148514851
2024-10-04,토마토,85,33.0,63.46153846153846
2024-10-03,토마토,51,-34.0,-40.0
2024-10-02,토마토,77,26.0,50.98039215686274
2024-10-01,토마토,75,-2.0,-2.5974025974025974
2024-09-30,토마토,148,73.0,97.33333333333334
2024-09-28,토마토,117,-31.0,-20.945945945945947
2024-09-27,토마토,147,30.0,25.64102564102564
2024-09-26,토마토,115,-32.0,-21.768707482993197
2024-09-25,토마토,158,43.0,37.391304347826086
2024-09-24,토마토,164,6.0,3.79746835443038
2024-09-23,토마토,237,73.0,44.51219512195122
2024-09-21,토마토,245,8.0,3.375527426160337
2024-09-20,토마토,332,87.0,35.51020408163265
2024-09-16,토마토,162,-170.0,-51.204819277108435
2024-09-14,토마토,151,-11.0,-6.790123456790123
2024-09-13,토마토,96,-55.0,-36.423841059602644
2024-09-12,토마토,96,0.0,0.0
2024-09-11,토마토,79,-17.0,-17.708333333333336
2024-09-10,토마토,110,31.0,39.24050632911392
2024-09-09,토마토,121,11.0,10.0
2024-09-07,토마토,103,-18.0,-14.87603305785124
2024-09-06,토마토,113,10.0,9.70873786407767
2024-09-05,토마토,75,-38.0,-33.6283185840708
2024-09-04,토마토,84,9.0,12.0
2024-09-03,토마토,96,12.0,14.285714285714285
2024-09-02,토마토,154,58.0,60.416666666666664
2024-08-31,토마토,133,-21.0,-13.636363636363635
2024-08-30,토마토,136,3.0,2.2556390977443606
2024-08-29,토마토,115,-21.0,-15.441176470588236
2024-08-28,토마토,152,37.0,32.17391304347826
2024-08-27,토마토,178,26.0,17.105263157894736
2024-08-26,토마토,234,56.0,31.46067415730337
2024-08-24,토마토,189,-45.0,-19.230769230769234
2024-08-23,토마토,162,-27.0,-14.285714285714285
2024-08-22,토마토,119,-43.0,-26.543209876543212
2024-08-21,토마토,146,27.0,22.689075630252102
2024-08-20,토마토,132,-14.0,-9.58904109589041
2024-08-19,토마토,181,49.0,37.121212121212125
2024-08-17,토마토,131,-50.0,-27.624309392265197
2024-08-16,토마토,97,-34.0,-25.954198473282442
2024-08-15,토마토,100,3.0,3.0927835051546393
2024-08-14,토마토,99,-1.0,-1.0
2024-08-13,토마토,137,38.0,38.38383838383838
2024-08-12,토마토,181,44.0,32.11678832116788
2024-08-10,토마토,219,38.0,20.994475138121548
2024-08-09,토마토,201,-18.0,-8.21917808219178
2024-08-08,토마토,167,-34.0,-16.91542288557214
2024-08-07,토마토,137,-30.0,-17.964071856287426
2024-08-06,토마토,133,-4.0,-2.9197080291970803
2024-08-05,토마토,234,101.0,75.93984962406014
2024-08-02,토마토,196,-38.0,-16.23931623931624
2024-08-01,토마토,135,-61.0,-31.122448979591837
2024-07-31,토마토,157,22.0,16.296296296296298
