DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2024-12-09,무,563,0,361,34,2,0,0,1,526
2024-12-07,무,405,448,454,50,0,0,0,4,350
2024-12-06,무,449,494,601,37,1,0,0,13,397
2024-12-05,무,493,416,372,51,1,0,0,21,421
2024-12-04,무,417,575,432,44,0,0,0,12,360
2024-12-03,무,575,387,0,32,1,0,0,6,536
2024-12-02,무,386,0,0,22,0,0,0,0,365
2024-11-30,무,329,391,424,36,0,0,0,0,293
2024-11-29,무,390,339,343,32,2,0,0,0,357
2024-11-28,무,339,280,292,31,0,0,0,0,308
2024-11-27,무,280,264,229,22,0,0,0,17,241
2024-11-26,무,264,309,0,21,1,0,0,0,242
2024-11-25,무,309,0,363,22,1,0,0,0,286
2024-11-23,무,408,427,428,36,1,0,0,0,372
2024-11-22,무,427,368,438,33,1,0,0,0,393
2024-11-21,무,368,322,448,21,2,0,0,0,345
2024-11-20,무,323,391,401,9,0,0,0,0,313
2024-11-19,무,391,467,0,14,1,0,0,10,366
2024-11-18,무,467,0,221,27,1,0,0,11,428
2024-11-16,무,309,408,384,10,0,0,0,12,287
2024-11-15,무,408,377,349,24,0,0,0,12,372
2024-11-14,무,376,379,411,29,1,0,0,13,334
2024-11-13,무,379,341,275,22,2,0,0,14,341
2024-11-12,무,341,397,0,26,3,0,0,1,311
2024-11-11,무,397,0,260,26,0,0,0,13,358
2024-11-09,무,479,494,445,18,3,0,0,19,438
2024-11-08,무,495,594,563,27,1,0,0,9,457
2024-11-07,무,594,641,349,31,0,0,0,14,549
2024-11-06,무,640,640,561,26,3,0,0,27,585
2024-11-05,무,640,631,0,13,2,0,0,12,613
2024-11-04,무,632,0,0,24,0,0,0,0,607
2024-11-02,무,611,528,470,14,5,0,0,0,592
2024-11-01,무,529,428,512,23,0,0,10,0,495
2024-10-31,무,428,343,635,22,10,0,0,0,396
2024-10-30,무,343,607,495,36,3,0,0,0,304
2024-10-29,무,606,946,0,46,6,0,0,26,529
2024-10-28,무,947,0,394,82,6,0,0,27,831
2024-10-26,무,837,868,445,22,0,0,0,13,801
2024-10-25,무,868,483,672,36,4,0,0,12,816
2024-10-24,무,482,525,724,26,0,0,0,12,445
2024-10-23,무,524,738,796,15,2,0,0,11,497
2024-10-22,무,738,750,0,18,3,0,0,11,706
2024-10-21,무,751,0,646,36,5,0,0,26,683
2024-10-19,무,342,711,405,0,1,0,0,14,326
2024-10-18,무,710,543,867,24,4,0,0,12,671
2024-10-17,무,543,537,699,22,2,0,0,12,507
2024-10-16,무,537,702,694,17,2,0,0,12,506
2024-10-15,무,702,731,0,12,7,0,0,20,663
2024-10-14,무,731,0,403,34,7,1,0,30,659
2024-10-12,무,595,784,707,24,2,0,0,13,555
2024-10-11,무,783,673,750,23,14,0,10,37,700
2024-10-10,무,672,564,701,35,1,0,0,13,624
2024-10-09,무,564,581,549,33,1,0,0,13,517
2024-10-08,무,582,558,0,24,1,0,0,12,544
2024-10-07,무,558,0,544,27,5,2,0,27,497
2024-10-05,무,636,748,683,34,3,0,0,27,571
2024-10-04,무,748,542,858,36,1,0,0,36,675
2024-10-03,무,541,511,588,37,2,0,0,24,479
2024-10-02,무,512,561,731,10,5,0,0,27,469
2024-10-01,무,561,778,0,45,2,0,0,24,490
2024-09-30,무,779,0,0,36,4,0,0,26,712
2024-09-28,무,636,678,416,22,3,0,0,24,587
2024-09-27,무,678,936,998,28,1,0,0,24,625
2024-09-26,무,936,810,882,76,1,2,0,22,835
2024-09-25,무,810,922,959,56,0,0,0,12,742
2024-09-24,무,922,496,0,59,2,0,0,24,837
2024-09-23,무,495,0,"1,118",22,0,0,0,24,450
2024-09-21,무,1053,"1,170",650,55,0,0,0,13,985
