year,month,day,avg_price,rate
2025,6,3,31260,HIGH
2025,6,4,28566,HIGH
2025,6,5,5739,HIGH
2025,6,6,8541,HIGH
2025,6,7,9610,HIGH
2025,6,8,9605,HIGH
2025,6,9,8770,HIGH
2025,6,10,11737,HIGH
2025,6,11,15109,HIGH
2025,6,12,13169,HIGH
2025,6,13,20916,HIGH
2025,6,14,24060,HIGH
2025,6,15,18967,HIGH
2025,6,16,22124,HIGH
2025,6,17,23533,HIGH
2025,6,18,26079,HIGH
2025,6,19,30320,HIGH
2025,6,20,32185,HIGH
2025,6,21,38687,HIGH
2025,6,22,37435,HIGH
2025,6,23,48957,HIGH
2025,6,24,61900,HIGH
2025,6,25,37426,HIGH
2025,6,26,47068,HIGH
2025,6,27,41911,HIGH
2025,6,28,65169,HIGH
2025,6,29,48027,HIGH
2025,6,30,41744,HIGH
2025,7,1,51465,HIGH
2025,6,3,47368,SPECIAL
2025,6,4,47218,SPECIAL
2025,6,5,69250,SPECIAL
2025,6,6,63490,SPECIAL
2025,6,7,70130,SPECIAL
2025,6,8,54959,SPECIAL
2025,6,9,54637,SPECIAL
2025,6,10,63826,SPECIAL
2025,6,11,67664,SPECIAL
2025,6,12,80902,SPECIAL
2025,6,13,67902,SPECIAL
2025,6,14,67752,SPECIAL
2025,6,15,65179,SPECIAL
2025,6,16,64114,SPECIAL
2025,6,17,61696,SPECIAL
2025,6,18,55903,SPECIAL
2025,6,19,54629,SPECIAL
2025,6,20,55676,SPECIAL
2025,6,21,47744,SPECIAL
2025,6,22,46094,SPECIAL
2025,6,23,42239,SPECIAL
2025,6,24,46440,SPECIAL
2025,6,25,37824,SPECIAL
2025,6,26,35380,SPECIAL
2025,6,27,33706,SPECIAL
2025,6,28,31158,SPECIAL
2025,6,29,30178,SPECIAL
2025,6,30,29850,SPECIAL
2025,7,1,29364,SPECIAL
