year,month,day,avg_price,rate
2025,6,3,665,HIGH
2025,6,4,613,HIGH
2025,6,5,76,HIGH
2025,6,6,84,HIGH
2025,6,7,98,HIGH
2025,6,8,88,HIGH
2025,6,9,114,HIGH
2025,6,10,111,HIGH
2025,6,11,151,HIGH
2025,6,12,132,HIGH
2025,6,13,133,HIGH
2025,6,14,181,HIGH
2025,6,15,205,HIGH
2025,6,16,304,HIGH
2025,6,17,211,HIGH
2025,6,18,211,HIGH
2025,6,19,211,HIGH
2025,6,20,221,HIGH
2025,6,21,305,HIGH
2025,6,22,310,HIGH
2025,6,23,283,HIGH
2025,6,24,420,HIGH
2025,6,25,338,HIGH
2025,6,26,278,HIGH
2025,6,27,373,HIGH
2025,6,28,346,HIGH
2025,6,29,350,HIGH
2025,6,30,430,HIGH
2025,7,1,425,HIGH
2025,6,3,782,SPECIAL
2025,6,4,788,SPECIAL
2025,6,5,665,SPECIAL
2025,6,6,663,SPECIAL
2025,6,7,678,SPECIAL
2025,6,8,698,SPECIAL
2025,6,9,692,SPECIAL
2025,6,10,695,SPECIAL
2025,6,11,1175,SPECIAL
2025,6,12,1078,SPECIAL
2025,6,13,1036,SPECIAL
2025,6,14,964,SPECIAL
2025,6,15,1022,SPECIAL
2025,6,16,1020,SPECIAL
2025,6,17,884,SPECIAL
2025,6,18,882,SPECIAL
2025,6,19,833,SPECIAL
2025,6,20,786,SPECIAL
2025,6,21,770,SPECIAL
2025,6,22,726,SPECIAL
2025,6,23,720,SPECIAL
2025,6,24,726,SPECIAL
2025,6,25,738,SPECIAL
2025,6,26,732,SPECIAL
2025,6,27,673,SPECIAL
2025,6,28,691,SPECIAL
2025,6,29,656,SPECIAL
2025,6,30,666,SPECIAL
2025,7,1,618,SPECIAL
