year,month,day,avg_price,rate
2025,6,3,8755,HIGH
2025,6,4,8810,HIGH
2025,6,5,787,HIGH
2025,6,6,633,HIGH
2025,6,7,1040,HIGH
2025,6,8,1084,HIGH
2025,6,9,1655,HIGH
2025,6,10,1567,HIGH
2025,6,11,7320,HIGH
2025,6,12,7120,HIGH
2025,6,13,6566,HIGH
2025,6,14,4344,HIGH
2025,6,15,5017,HIGH
2025,6,16,5434,HIGH
2025,6,17,4191,HIGH
2025,6,18,5457,HIGH
2025,6,19,4455,HIGH
2025,6,20,7009,HIGH
2025,6,21,8801,HIGH
2025,6,22,5777,HIGH
2025,6,23,18599,HIGH
2025,6,24,10413,HIGH
2025,6,25,12015,HIGH
2025,6,26,16040,HIGH
2025,6,27,15827,HIGH
2025,6,28,11663,HIGH
2025,6,29,30713,HIGH
2025,6,30,17204,HIGH
2025,7,1,27449,HIGH
2025,6,3,9540,SPECIAL
2025,6,4,10050,SPECIAL
2025,6,5,10287,SPECIAL
2025,6,6,10444,SPECIAL
2025,6,7,10427,SPECIAL
2025,6,8,10330,SPECIAL
2025,6,9,10172,SPECIAL
2025,6,10,9979,SPECIAL
2025,6,11,11167,SPECIAL
2025,6,12,11807,SPECIAL
2025,6,13,11588,SPECIAL
2025,6,14,12949,SPECIAL
2025,6,15,12423,SPECIAL
2025,6,16,13071,SPECIAL
2025,6,17,13173,SPECIAL
2025,6,18,13276,SPECIAL
2025,6,19,13472,SPECIAL
2025,6,20,11639,SPECIAL
2025,6,21,12111,SPECIAL
2025,6,22,11870,SPECIAL
2025,6,23,10867,SPECIAL
2025,6,24,11583,SPECIAL
2025,6,25,11068,SPECIAL
2025,6,26,11156,SPECIAL
2025,6,27,10901,SPECIAL
2025,6,28,10809,SPECIAL
2025,6,29,10311,SPECIAL
2025,6,30,10163,SPECIAL
2025,7,1,10475,SPECIAL
