DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2024-11-30,토마토,95,104,67,34,4,51,4,2,0
2024-11-29,토마토,104,63,61,45,7,45,5,2,0
2024-11-28,토마토,63,90,116,30,1,24,6,2,0
2024-11-27,토마토,91,81,109,30,5,49,4,2,0
2024-11-26,토마토,81,119,0,33,4,35,6,3,0
2024-11-25,토마토,119,0,69,45,15,53,4,2,0
2024-11-23,토마토,118,115,84,39,15,57,4,2,0
2024-11-22,토마토,115,75,58,41,16,51,3,4,0
2024-11-21,토마토,75,76,74,36,10,25,2,2,0
2024-11-20,토마토,76,83,93,22,4,43,5,2,0
2024-11-19,토마토,83,106,0,29,12,37,2,3,0
2024-11-18,토마토,105,0,80,43,15,39,6,3,0
2024-11-16,토마토,100,95,86,33,12,50,3,2,0
2024-11-15,토마토,94,51,97,40,15,33,4,3,0
2024-11-14,토마토,50,63,96,13,9,25,1,3,0
2024-11-13,토마토,63,60,136,22,2,30,5,4,0
2024-11-12,토마토,60,80,0,18,8,28,3,3,0
2024-11-11,토마토,81,0,108,21,12,38,5,4,0
2024-11-09,토마토,84,84,102,27,3,47,3,2,0
2024-11-08,토마토,84,63,109,35,7,36,4,2,0
2024-11-07,토마토,63,80,83,22,5,29,6,1,0
2024-11-06,토마토,80,79,172,22,6,41,6,5,0
2024-11-05,토마토,79,109,0,32,7,35,3,2,0
2024-11-04,토마토,109,0,0,36,13,49,7,4,0
2024-11-02,토마토,113,98,95,39,7,56,7,4,0
2024-11-01,토마토,98,66,99,38,14,37,6,3,0
2024-10-31,토마토,67,111,118,22,8,30,4,2,0
2024-10-30,토마토,110,116,143,37,15,43,10,6,0
2024-10-29,토마토,116,112,0,44,9,59,3,1,0
2024-10-28,토마토,111,0,91,42,14,45,7,4,0
2024-10-26,토마토,125,95,84,42,6,69,5,3,0
2024-10-25,토마토,96,95,99,38,12,38,4,3,0
2024-10-24,토마토,94,99,105,32,9,48,3,3,0
2024-10-23,토마토,99,111,123,35,10,48,3,3,0
2024-10-22,토마토,111,117,0,39,8,57,4,3,0
2024-10-21,토마토,117,0,107,47,13,47,6,4,0
2024-10-19,토마토,113,85,82,40,7,56,5,4,0
2024-10-18,토마토,84,91,76,38,10,29,5,3,0
2024-10-17,토마토,91,69,93,36,3,45,5,2,0
2024-10-16,토마토,68,113,111,26,8,30,2,3,0
2024-10-15,토마토,113,105,0,45,5,57,4,2,0
2024-10-14,토마토,106,0,73,39,9,49,4,4,0
2024-10-12,토마토,56,94,56,20,2,32,2,1,0
2024-10-11,토마토,94,44,71,31,5,51,4,3,0
2024-10-10,토마토,43,63,84,19,1,20,2,2,0
2024-10-09,토마토,63,66,133,18,4,38,1,2,0
2024-10-08,토마토,66,101,0,27,3,32,2,2,0
2024-10-07,토마토,101,0,92,33,4,54,7,3,0
2024-10-05,토마토,52,85,119,20,3,22,4,3,0
2024-10-04,토마토,85,51,144,27,7,45,3,3,0
2024-10-03,토마토,51,77,157,17,5,26,1,2,0
2024-10-02,토마토,77,74,231,32,2,32,9,2,0
2024-10-01,토마토,75,148,0,19,2,38,12,3,0
2024-09-30,토마토,148,0,0,43,20,68,11,6,0
2024-09-28,토마토,117,146,95,45,8,48,12,4,0
2024-09-27,토마토,147,114,203,49,5,70,16,6,0
2024-09-26,토마토,115,159,135,36,21,52,3,2,0
2024-09-25,토마토,158,163,185,60,5,82,7,5,0
2024-09-24,토마토,164,235,0,52,21,67,19,4,0
2024-09-23,토마토,237,0,129,72,16,127,11,9,0
2024-09-21,토마토,245,331,99,89,25,108,15,7,0
2024-09-20,토마토,332,0,115,126,22,138,31,14,0
2024-09-16,토마토,162,0,146,39,10,100,7,6,0
2024-09-14,토마토,151,96,122,55,20,65,6,5,0
2024-09-13,토마토,96,95,180,26,2,62,4,2,0
2024-09-12,토마토,96,79,139,33,5,53,3,1,0
2024-09-11,토마토,79,111,199,19,3,52,4,1,0
2024-09-10,토마토,110,121,0,38,15,55,1,2,0
2024-09-09,토마토,121,0,137,42,4,68,5,2,0
2024-09-07,토마토,103,112,103,28,8,62,3,2,0
2024-09-06,토마토,113,75,123,23,11,72,4,2,0
2024-09-05,토마토,75,83,116,21,6,45,2,1,0
2024-09-04,토마토,84,96,173,18,3,57,3,2,0
2024-09-03,토마토,96,154,0,33,8,49,5,1,0
2024-09-02,토마토,154,0,163,41,12,90,7,4,0
2024-08-31,토마토,133,137,125,43,10,71,7,2,0
2024-08-30,토마토,136,115,133,48,11,72,4,2,0
2024-08-29,토마토,115,153,103,32,13,58,9,3,0
2024-08-28,토마토,152,179,253,46,12,83,8,4,0
2024-08-27,토마토,178,234,0,62,18,85,9,5,0
2024-08-26,토마토,234,0,145,83,20,112,13,6,0
2024-08-24,토마토,189,162,119,79,17,78,10,6,0
2024-08-23,토마토,162,119,123,54,12,78,13,5,0
2024-08-22,토마토,119,146,123,34,12,62,8,3,0
2024-08-21,토마토,146,133,181,50,12,70,9,5,0
2024-08-20,토마토,132,182,0,42,10,64,11,6,0
2024-08-19,토마토,181,0,109,54,16,91,13,8,0
2024-08-17,토마토,131,96,138,45,8,63,8,6,0
2024-08-16,토마토,97,100,160,34,11,45,3,3,0
2024-08-15,토마토,100,99,205,28,7,52,10,3,0
2024-08-14,토마토,99,136,203,34,10,48,2,5,0
2024-08-13,토마토,137,180,0,49,8,63,13,3,0
2024-08-12,토마토,181,0,203,62,17,84,10,7,0
2024-08-10,토마토,219,200,163,90,18,81,23,7,0
2024-08-09,토마토,201,167,185,68,16,94,15,7,0
2024-08-08,토마토,167,138,173,43,17,90,12,5,0
2024-08-07,토마토,137,134,271,39,11,67,16,5,0
2024-08-06,토마토,133,234,0,58,13,45,12,6,0
2024-08-05,토마토,234,0,0,87,29,91,17,10,0
2024-08-02,토마토,196,135,151,87,26,69,7,7,0
2024-08-01,토마토,135,157,134,55,16,45,12,7,0
2024-07-31,토마토,157,142,189,52,23,57,18,7,0
2024-07-30,토마토,141,197,0,41,19,67,9,6,0
2024-07-29,토마토,196,0,132,63,31,79,14,10,0
2024-07-27,토마토,153,152,142,64,22,43,17,7,0
2024-07-26,토마토,152,123,174,57,23,54,11,7,0
2024-07-25,토마토,124,146,123,56,17,36,11,3,0
2024-07-24,토마토,146,128,161,54,23,50,13,6,0
2024-07-23,토마토,128,190,0,56,20,39,6,7,0
2024-07-22,토마토,191,0,122,70,29,71,10,10,0
2024-07-20,토마토,159,162,133,56,23,60,11,8,0
2024-07-19,토마토,161,169,151,66,21,57,13,5,0
2024-07-18,토마토,169,169,186,61,27,66,11,4,0
2024-07-17,토마토,170,159,193,57,24,63,15,10,0
2024-07-16,토마토,159,190,0,49,26,67,12,5,0
2024-07-15,토마토,189,0,156,67,23,77,11,12,0
2024-07-13,토마토,163,145,134,65,25,52,15,7,0
2024-07-12,토마토,146,143,128,50,17,61,11,6,0
2024-07-11,토마토,143,125,124,51,17,60,7,8,0
2024-07-10,토마토,125,171,179,42,18,48,10,7,0
2024-07-09,토마토,171,179,0,58,17,75,14,7,0
2024-07-08,토마토,178,0,153,57,19,85,10,8,0
2024-07-06,토마토,155,131,133,57,18,54,20,7,0
2024-07-05,토마토,132,118,120,47,13,54,10,7,0
2024-07-04,토마토,118,134,119,37,15,43,12,11,0
2024-07-03,토마토,135,177,182,51,19,48,9,7,0
2024-07-02,토마토,176,214,0,64,22,57,23,11,0
2024-07-01,토마토,214,0,130,81,21,87,12,13,0
2024-06-29,토마토,200,218,126,79,23,74,10,14,0
2024-06-28,토마토,218,226,154,83,29,78,21,7,0
2024-06-27,토마토,226,210,151,84,30,86,14,12,0
2024-06-26,토마토,211,196,243,76,29,75,15,15,0
2024-06-25,토마토,196,222,0,53,28,89,14,12,0
2024-06-24,토마토,223,0,160,75,32,82,15,18,0
2024-06-22,토마토,150,158,124,53,23,52,13,9,0
2024-06-21,토마토,158,163,125,51,31,48,17,11,0
2024-06-20,토마토,164,195,150,53,18,77,8,7,0
2024-06-19,토마토,196,211,232,63,29,77,15,11,0
2024-06-18,토마토,210,234,0,72,33,83,11,12,0
2024-06-17,토마토,234,0,142,72,28,99,17,18,0
2024-06-15,토마토,154,192,132,51,21,74,3,4,0
2024-06-14,토마토,191,186,121,53,33,81,17,8,0
2024-06-13,토마토,186,180,149,68,17,83,14,4,0
2024-06-12,토마토,179,203,194,54,23,73,21,9,0
2024-06-11,토마토,203,228,0,55,24,103,14,7,0
2024-06-10,토마토,228,0,128,80,30,90,17,11,0
2024-06-08,토마토,147,169,166,52,17,64,7,6,0
2024-06-07,토마토,169,166,140,52,25,68,14,10,0
2024-06-06,토마토,166,177,172,44,20,77,14,11,0
2024-06-05,토마토,178,222,247,56,27,67,15,12,0
2024-06-04,토마토,222,225,0,71,27,98,14,12,0
2024-06-03,토마토,225,0,132,72,33,84,15,21,0
2024-06-01,토마토,258,227,102,100,24,107,11,15,0
2024-05-31,토마토,228,226,268,63,30,108,14,12,0
2024-05-30,토마토,226,240,238,82,37,89,9,9,0
2024-05-29,토마토,240,247,359,77,33,96,20,14,0
2024-05-28,토마토,248,247,0,87,44,90,13,13,0
2024-05-27,토마토,246,0,289,79,38,99,19,12,0
2024-05-25,토마토,161,178,280,51,17,79,8,7,0
2024-05-24,토마토,178,127,353,53,33,71,13,8,0
2024-05-23,토마토,127,137,305,40,20,57,5,5,0
2024-05-22,토마토,138,150,407,38,18,55,15,11,0
2024-05-21,토마토,150,210,0,57,23,52,11,7,0
2024-05-20,토마토,211,0,262,59,31,95,15,10,0
