DATE,품목명,단위,등급명,평균가격,전일,전년
2025-02-17,토마토,5키로상자,특,"24,666",0,"26,725"
2025-02-17,토마토,10키로상자,특,"54,395",0,"52,000"
2025-02-16,토마토,5키로상자,특,0,"26,593","25,402"
2025-02-16,토마토,10키로상자,특,0,"46,809","48,979"
2025-02-15,토마토,5키로상자,특,"26,593","26,368","23,625"
2025-02-15,토마토,10키로상자,특,"46,809","46,809","48,979"
2025-02-14,토마토,5키로상자,특,"26,368","26,891","24,706"
2025-02-14,토마토,10키로상자,특,"46,809","42,442",0
2025-02-13,토마토,5키로상자,특,"26,891",0,0
2025-02-13,토마토,10키로상자,특,"42,442",0,0
2025-02-12,토마토,5키로상자,특,0,"21,333",0
2025-02-12,토마토,10키로상자,특,0,"42,442",0
2025-02-11,토마토,5키로상자,특,"21,333","19,577",0
2025-02-11,토마토,10키로상자,특,"42,442","42,442",0
2025-02-10,토마토,5키로상자,특,"19,577",0,0
2025-02-10,토마토,10키로상자,특,"42,442",0,0
2025-02-08,토마토,5키로상자,특,"18,311",0,0
2025-02-08,토마토,10키로상자,특,"43,526",0,0
2025-02-07,토마토,5키로상자,특,"19,259",0,0
2025-02-07,토마토,10키로상자,특,"43,526",0,0
2025-02-06,토마토,5키로상자,특,"19,000",0,0
2025-02-06,토마토,10키로상자,특,"22,000",0,0
2025-02-05,토마토,5키로상자,특,"17,501",0,0
2025-02-05,토마토,10키로상자,특,"41,136",0,0
2025-02-04,토마토,5키로상자,특,"15,183",0,0
2025-02-04,토마토,10키로상자,특,"29,571",0,0
2025-02-03,토마토,5키로상자,특,"14,810",0,0
2025-02-03,토마토,10키로상자,특,"29,571",0,0
2025-02-01,토마토,5키로상자,특,"13,038",0,"33,421"
2025-02-01,토마토,10키로상자,특,"31,935",0,"58,769"
2025-01-31,토마토,5키로상자,특,0,0,"32,680"
2025-01-31,토마토,10키로상자,특,0,0,"59,774"
2025-01-30,토마토,5키로상자,특,0,0,"34,527"
2025-01-30,토마토,10키로상자,특,0,0,"59,774"
2025-01-29,토마토,5키로상자,특,0,"12,017",0
2025-01-29,토마토,10키로상자,특,0,"20,182",0
2025-01-28,토마토,5키로상자,특,"12,017","14,909","35,103"
2025-01-28,토마토,10키로상자,특,"20,182","33,532","46,000"
2025-01-27,토마토,5키로상자,특,"14,909",0,"34,720"
2025-01-27,토마토,10키로상자,특,"33,532",0,"58,964"
2025-01-26,토마토,5키로상자,특,0,"15,000","34,386"
2025-01-26,토마토,10키로상자,특,0,"21,750","62,286"
2025-01-25,토마토,5키로상자,특,"15,000","16,000","34,756"
2025-01-25,토마토,10키로상자,특,"21,750","32,233","62,286"
2025-01-24,토마토,5키로상자,특,"16,000","16,074","36,083"
2025-01-24,토마토,10키로상자,특,"32,233","34,286","59,385"
2025-01-23,토마토,5키로상자,특,"16,074","17,049","36,429"
2025-01-23,토마토,10키로상자,특,"34,286","34,286","59,385"
2025-01-22,토마토,5키로상자,특,"17,049","18,000",0
2025-01-22,토마토,10키로상자,특,"34,286","39,569",0
