DATE,품목명,총반입량,전일,전년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
2024-11-28,고구마,153,145,120,3,0,19,53,78,0
2024-11-27,고구마,145,117,141,10,0,20,52,63,0
2024-11-26,고구마,118,114,0,9,1,0,43,64,0
2024-11-25,고구마,113,0,74,13,0,5,41,55,0
2024-11-23,고구마,62,113,115,2,2,5,31,22,0
2024-11-22,고구마,113,113,138,5,1,9,38,60,0
2024-11-21,고구마,113,145,116,2,1,15,49,46,0
2024-11-20,고구마,143,135,195,14,4,22,35,70,0
2024-11-19,고구마,135,134,0,6,5,9,45,70,0
2024-11-18,고구마,134,0,93,16,5,15,52,46,0
2024-11-16,고구마,71,87,123,9,5,7,22,27,0
2024-11-15,고구마,87,99,111,0,5,13,24,45,0
2024-11-14,고구마,99,111,134,10,1,24,29,35,0
2024-11-13,고구마,112,128,100,6,3,22,31,49,0
2024-11-12,고구마,128,124,0,9,1,19,39,60,0
2024-11-11,고구마,124,0,61,4,3,14,36,67,0
2024-11-09,고구마,100,130,108,4,1,14,40,40,0
2024-11-08,고구마,130,116,132,6,1,13,38,72,0
2024-11-07,고구마,115,108,134,7,2,21,25,61,0
2024-11-06,고구마,108,108,163,8,2,12,41,45,0
2024-11-05,고구마,110,115,0,13,2,21,21,51,0
2024-11-04,고구마,114,0,0,18,1,27,29,40,0
2024-11-02,고구마,82,94,153,6,1,10,38,26,0
2024-11-01,고구마,94,110,133,7,1,12,34,40,0
2024-10-31,고구마,110,115,135,13,1,20,31,45,0
2024-10-30,고구마,114,101,117,12,5,23,19,56,0
2024-10-29,고구마,101,140,0,9,0,26,15,51,0
2024-10-28,고구마,141,0,101,18,0,27,55,40,0
2024-10-26,고구마,86,148,127,3,1,16,22,44,0
2024-10-25,고구마,149,131,114,17,0,25,59,47,0
2024-10-24,고구마,132,169,144,12,1,26,32,60,0
2024-10-23,고구마,169,85,123,18,0,27,51,73,0
2024-10-22,고구마,85,121,0,0,1,18,31,35,0
2024-10-21,고구마,121,0,126,7,2,25,51,36,0
2024-10-19,고구마,77,98,111,4,2,10,28,33,0
2024-10-18,고구마,99,146,133,3,1,16,32,46,0
2024-10-17,고구마,147,149,122,13,1,38,25,69,0
2024-10-16,고구마,149,115,210,9,1,24,45,70,0
2024-10-15,고구마,114,150,0,2,1,17,48,47,0
2024-10-14,고구마,151,0,132,7,0,31,59,53,0
2024-10-12,고구마,130,156,120,8,1,32,34,55,0
2024-10-11,고구마,156,154,158,16,1,34,49,56,0
2024-10-10,고구마,154,158,140,25,0,20,56,53,0
2024-10-09,고구마,158,143,196,13,1,20,63,61,0
2024-10-08,고구마,142,164,0,20,1,19,48,55,0
2024-10-07,고구마,165,0,116,18,0,23,68,55,0
2024-10-05,고구마,119,143,133,15,2,12,23,68,0
2024-10-04,고구마,143,144,115,18,4,22,43,56,0
2024-10-03,고구마,143,149,92,7,1,19,31,86,0
2024-10-02,고구마,149,152,125,9,6,25,49,60,0
2024-10-01,고구마,152,158,0,9,2,31,45,65,0
2024-09-30,고구마,158,0,0,16,0,18,48,76,0
2024-09-28,고구마,140,137,8,14,1,19,48,59,0
2024-09-27,고구마,137,158,88,14,1,26,56,40,0
2024-09-26,고구마,158,122,142,13,4,31,37,73,0
2024-09-25,고구마,121,137,159,12,0,21,40,49,0
2024-09-24,고구마,135,155,0,16,1,27,38,55,0
2024-09-23,고구마,154,0,118,18,1,19,57,60,0
2024-09-21,고구마,103,145,167,3,0,17,37,46,0
2024-09-20,고구마,144,0,111,8,0,20,68,49,0
2024-09-14,고구마,70,124,171,8,0,8,20,34,0
2024-09-13,고구마,125,134,177,5,4,24,37,54,0
2024-09-12,고구마,134,109,144,22,0,33,33,46,0
2024-09-11,고구마,108,125,208,5,0,18,45,41,0
2024-09-10,고구마,124,169,0,17,4,10,46,48,0
2024-09-09,고구마,170,0,135,11,1,27,57,73,0
2024-09-07,고구마,129,155,136,15,3,5,38,69,0
2024-09-06,고구마,155,125,148,8,4,17,62,64,0
2024-09-05,고구마,125,154,118,7,1,17,36,64,0
2024-09-04,고구마,153,144,190,8,1,18,62,65,0
2024-09-03,고구마,144,150,0,12,3,20,53,56,0
2024-09-02,고구마,150,0,97,8,0,6,90,46,0
2024-08-31,고구마,99,162,136,11,0,22,17,49,0
2024-08-30,고구마,162,135,133,14,3,21,51,73,0
2024-08-29,고구마,136,155,96,13,0,15,45,62,0
2024-08-28,고구마,155,154,125,15,3,23,51,63,0
2024-08-27,고구마,155,127,0,14,0,20,35,85,0
2024-08-26,고구마,127,0,69,10,1,12,41,63,0
2024-08-24,고구마,67,112,116,3,0,12,17,35,0
2024-08-23,고구마,112,118,106,4,0,17,33,58,0
2024-08-22,고구마,118,127,131,8,0,21,38,51,0
2024-08-21,고구마,126,138,161,7,0,21,32,67,0
2024-08-20,고구마,137,149,0,8,0,20,49,61,0
2024-08-19,고구마,149,0,110,8,0,23,56,62,0
2024-08-17,고구마,75,91,119,5,0,19,14,38,0
2024-08-16,고구마,91,104,108,7,0,18,20,46,0
2024-08-15,고구마,103,107,101,3,0,29,18,54,0
2024-08-14,고구마,107,106,103,5,0,16,45,41,0
2024-08-13,고구마,107,118,0,4,0,21,30,51,0
2024-08-12,고구마,118,0,67,5,0,17,51,45,0
2024-08-10,고구마,36,92,109,0,0,7,8,20,0
2024-08-09,고구마,93,100,76,6,0,19,18,49,0
2024-08-08,고구마,100,76,88,6,0,19,21,54,0
2024-08-07,고구마,75,119,70,6,2,9,19,40,0
2024-08-06,고구마,119,100,0,11,0,17,23,68,0
2024-08-05,고구마,100,0,0,10,0,20,33,37,0
2024-08-02,고구마,54,64,34,6,0,0,28,19,0
2024-08-01,고구마,64,82,59,6,0,0,18,40,0
2024-07-31,고구마,82,54,59,6,0,16,27,33,0
2024-07-30,고구마,54,61,0,1,0,0,16,37,0
2024-07-29,고구마,61,0,27,0,0,0,31,30,0
2024-07-27,고구마,34,57,40,1,0,0,15,18,0
2024-07-26,고구마,57,63,72,5,0,9,13,30,0
2024-07-25,고구마,64,87,64,5,0,5,9,44,0
2024-07-24,고구마,87,74,61,4,0,10,31,42,0
2024-07-23,고구마,74,102,0,8,0,7,19,40,0
2024-07-22,고구마,103,0,30,12,0,3,43,44,0
2024-07-20,고구마,33,82,41,6,2,4,11,10,0
2024-07-19,고구마,82,89,68,7,0,0,34,41,0
2024-07-18,고구마,88,68,50,4,0,14,18,53,0
2024-07-17,고구마,68,61,91,5,0,7,23,33,0
2024-07-16,고구마,61,58,0,3,1,3,14,40,0
2024-07-15,고구마,58,0,50,5,0,0,20,33,0
2024-07-13,고구마,51,63,98,4,0,0,15,32,0
2024-07-12,고구마,63,96,58,5,0,8,29,21,0
2024-07-11,고구마,96,56,85,4,2,9,22,59,0
2024-07-10,고구마,56,86,62,3,0,4,15,34,0
2024-07-09,고구마,86,81,0,3,0,11,19,53,0
2024-07-08,고구마,81,0,56,12,0,5,30,34,0
2024-07-06,고구마,40,81,70,4,0,0,4,32,0
2024-07-05,고구마,81,50,50,3,0,4,35,39,0
2024-07-04,고구마,50,45,52,2,0,18,2,28,0
2024-07-03,고구마,45,73,68,3,2,4,26,10,0
2024-07-02,고구마,73,77,0,11,2,4,11,45,0
2024-07-01,고구마,78,0,57,13,0,0,34,30,0
2024-06-29,고구마,31,68,84,5,0,0,10,16,0
2024-06-28,고구마,68,72,95,3,0,2,27,36,0
2024-06-27,고구마,72,94,53,5,0,3,18,46,0
2024-06-26,고구마,94,87,101,3,0,9,29,53,0
2024-06-25,고구마,86,109,0,14,0,0,25,48,0
2024-06-24,고구마,109,0,38,13,0,6,24,66,0
2024-06-22,고구마,53,32,75,4,0,4,21,24,0
2024-06-21,고구마,32,63,92,3,0,4,12,13,0
2024-06-20,고구마,62,61,98,5,0,4,30,24,0
2024-06-19,고구마,60,82,101,6,0,9,14,32,0
2024-06-18,고구마,82,60,0,11,1,5,36,29,0
2024-06-17,고구마,60,0,57,19,0,6,14,21,0
2024-06-15,고구마,45,69,62,4,0,0,21,21,0
2024-06-14,고구마,68,86,90,3,0,4,29,33,0
2024-06-13,고구마,84,67,74,9,0,6,23,48,0
2024-06-12,고구마,67,71,85,3,0,5,34,25,0
2024-06-11,고구마,71,78,0,11,0,0,23,37,0
2024-06-10,고구마,77,0,36,13,0,0,34,31,0
2024-06-08,고구마,36,49,96,1,2,0,12,21,0
2024-06-07,고구마,48,49,77,3,2,0,27,17,0
2024-06-06,고구마,48,87,90,8,0,4,4,33,0
2024-06-05,고구마,87,80,105,8,2,5,28,44,0
2024-06-04,고구마,79,89,0,6,0,5,34,35,0
2024-06-03,고구마,89,0,46,5,2,0,29,53,0
2024-06-01,고구마,51,62,66,1,0,0,42,8,0
2024-05-31,고구마,62,92,98,11,0,5,15,31,0
2024-05-30,고구마,90,83,76,4,2,8,35,43,0
2024-05-29,고구마,84,109,100,6,0,4,34,39,0
2024-05-28,고구마,109,70,0,11,0,4,55,39,0
2024-05-27,고구마,70,0,64,6,0,4,25,35,0
2024-05-25,고구마,46,101,101,3,0,0,20,23,0
2024-05-24,고구마,100,51,79,8,0,4,27,62,0
2024-05-23,고구마,51,71,54,3,3,4,14,27,0
2024-05-22,고구마,72,62,98,3,0,3,27,38,0
2024-05-21,고구마,63,85,0,12,0,4,29,17,0
2024-05-20,고구마,85,0,46,8,0,8,27,42,0
2024-05-18,고구마,51,57,107,3,0,0,27,21,0
2024-05-17,고구마,56,78,101,3,0,0,16,38,0
2024-05-16,고구마,78,58,69,6,0,12,20,40,0
2024-05-15,고구마,58,85,118,8,0,4,28,18,0
2024-05-14,고구마,85,57,0,4,0,0,31,50,0
2024-05-13,고구마,57,0,39,13,0,9,15,20,0
2024-05-11,고구마,31,99,65,1,0,0,12,18,0
2024-05-10,고구마,99,70,119,3,0,11,44,41,0
